person_id,人名,分类,正式称号,活动年号,生卒,字或号,建议资源文件名,提示词,风格,负面提示词,参考现有画像
huayunlong,华云龙,将帅,淮安侯,洪武,1332—1374,,portrait_huayunlong.png,为明代人物「华云龙」绘制单人历史肖像。正式称号：淮安侯；分类：将帅；活动年号：洪武；生卒：1332—1374。明代将帅，着合乎身份的布面甲、罩袍或武官常服，沉稳站姿或坐姿，不表现战斗场面。若无传世肖像，不臆造可识别的真实面貌，采用符合明代身份、年龄不明时为成年人的概括性汉人形象。,明代人物绢本肖像，参考现有 portrait_zhangjuzheng.png、portrait_qinliangyu.png 与 portrait_zhuyuanzhang.png：工笔线描与细密木刻肌理，暖褐色宣纸底，青黛、赭石、暗金的低饱和配色，庄重克制；竖幅 2:3，人物居中，脸部位于上半部，上方留出安全裁切空间，适合 Android 人物卡纵向裁切。,不要现代服装、现代发型、摄影写实、欧美面孔、奇幻盔甲、夸张宫殿、战斗动作、兵器特写、文字、姓名题字、印章、水印、logo、边框、多人、错误朝代服饰、过度鲜艳配色。,portrait_zhangjuzheng.png；portrait_qinliangyu.png；portrait_zhuyuanzhang.png
huagao,华高,将帅,广德侯,洪武,生卒未详,,portrait_huagao.png,为明代人物「华高」绘制单人历史肖像。正式称号：广德侯；分类：将帅；活动年号：洪武；生卒：生卒未详。明代将帅，着合乎身份的布面甲、罩袍或武官常服，沉稳站姿或坐姿，不表现战斗场面。若无传世肖像，不臆造可识别的真实面貌，采用符合明代身份、年龄不明时为成年人的概括性汉人形象。,明代人物绢本肖像，参考现有 portrait_zhangjuzheng.png、portrait_qinliangyu.png 与 portrait_zhuyuanzhang.png：工笔线描与细密木刻肌理，暖褐色宣纸底，青黛、赭石、暗金的低饱和配色，庄重克制；竖幅 2:3，人物居中，脸部位于上半部，上方留出安全裁切空间，适合 Android 人物卡纵向裁切。,不要现代服装、现代发型、摄影写实、欧美面孔、奇幻盔甲、夸张宫殿、战斗动作、兵器特写、文字、姓名题字、印章、水印、logo、边框、多人、错误朝代服饰、过度鲜艳配色。,portrait_zhangjuzheng.png；portrait_qinliangyu.png；portrait_zhuyuanzhang.png
lutang,卢镗,将帅,副总兵,嘉靖,1505—1577,子鸣,portrait_lutang.png,为明代人物「卢镗」绘制单人历史肖像。正式称号：副总兵；分类：将帅；活动年号：嘉靖；生卒：1505—1577，字或号为「子鸣」。明代将帅，着合乎身份的布面甲、罩袍或武官常服，沉稳站姿或坐姿，不表现战斗场面。若无传世肖像，不臆造可识别的真实面貌，采用符合明代身份、年龄不明时为成年人的概括性汉人形象。,明代人物绢本肖像，参考现有 portrait_zhangjuzheng.png、portrait_qinliangyu.png 与 portrait_zhuyuanzhang.png：工笔线描与细密木刻肌理，暖褐色宣纸底，青黛、赭石、暗金的低饱和配色，庄重克制；竖幅 2:3，人物居中，脸部位于上半部，上方留出安全裁切空间，适合 Android 人物卡纵向裁切。,不要现代服装、现代发型、摄影写实、欧美面孔、奇幻盔甲、夸张宫殿、战斗动作、兵器特写、文字、姓名题字、印章、水印、logo、边框、多人、错误朝代服饰、过度鲜艳配色。,portrait_zhangjuzheng.png；portrait_qinliangyu.png；portrait_zhuyuanzhang.png
wusangui,吴三桂,将帅,明辽东总兵,崇祯,1608—1678,素存、长伯(又作长白，一字月先),portrait_wusangui.png,为明代人物「吴三桂」绘制单人历史肖像。正式称号：明辽东总兵；分类：将帅；活动年号：崇祯；生卒：1608—1678，字或号为「素存、长伯(又作长白，一字月先)」。明代将帅，着合乎身份的布面甲、罩袍或武官常服，沉稳站姿或坐姿，不表现战斗场面。若无传世肖像，不臆造可识别的真实面貌，采用符合明代身份、年龄不明时为成年人的概括性汉人形象。,明代人物绢本肖像，参考现有 portrait_zhangjuzheng.png、portrait_qinliangyu.png 与 portrait_zhuyuanzhang.png：工笔线描与细密木刻肌理，暖褐色宣纸底，青黛、赭石、暗金的低饱和配色，庄重克制；竖幅 2:3，人物居中，脸部位于上半部，上方留出安全裁切空间，适合 Android 人物卡纵向裁切。,不要现代服装、现代发型、摄影写实、欧美面孔、奇幻盔甲、夸张宫殿、战斗动作、兵器特写、文字、姓名题字、印章、水印、logo、边框、多人、错误朝代服饰、过度鲜艳配色。,portrait_zhangjuzheng.png；portrait_qinliangyu.png；portrait_zhuyuanzhang.png
wuyuncheng,吴允诚,将帅,恭顺伯,永乐,1405—？,,portrait_wuyuncheng.png,为明代人物「吴允诚」绘制单人历史肖像。正式称号：恭顺伯；分类：将帅；活动年号：永乐；生卒：1405—？。明代将帅，着合乎身份的布面甲、罩袍或武官常服，沉稳站姿或坐姿，不表现战斗场面。若无传世肖像，不臆造可识别的真实面貌，采用符合明代身份、年龄不明时为成年人的概括性汉人形象。,明代人物绢本肖像，参考现有 portrait_zhangjuzheng.png、portrait_qinliangyu.png 与 portrait_zhuyuanzhang.png：工笔线描与细密木刻肌理，暖褐色宣纸底，青黛、赭石、暗金的低饱和配色，庄重克制；竖幅 2:3，人物居中，脸部位于上半部，上方留出安全裁切空间，适合 Android 人物卡纵向裁切。,不要现代服装、现代发型、摄影写实、欧美面孔、奇幻盔甲、夸张宫殿、战斗动作、兵器特写、文字、姓名题字、印章、水印、logo、边框、多人、错误朝代服饰、过度鲜艳配色。,portrait_zhangjuzheng.png；portrait_qinliangyu.png；portrait_zhuyuanzhang.png
wufu,吴复,将帅,安陆侯,明代,生卒未详,,portrait_wufu.png,为明代人物「吴复」绘制单人历史肖像。正式称号：安陆侯；分类：将帅；活动年号：明代；生卒：生卒未详。明代将帅，着合乎身份的布面甲、罩袍或武官常服，沉稳站姿或坐姿，不表现战斗场面。若无传世肖像，不臆造可识别的真实面貌，采用符合明代身份、年龄不明时为成年人的概括性汉人形象。,明代人物绢本肖像，参考现有 portrait_zhangjuzheng.png、portrait_qinliangyu.png 与 portrait_zhuyuanzhang.png：工笔线描与细密木刻肌理，暖褐色宣纸底，青黛、赭石、暗金的低饱和配色，庄重克制；竖幅 2:3，人物居中，脸部位于上半部，上方留出安全裁切空间，适合 Android 人物卡纵向裁切。,不要现代服装、现代发型、摄影写实、欧美面孔、奇幻盔甲、夸张宫殿、战斗动作、兵器特写、文字、姓名题字、印章、水印、logo、边框、多人、错误朝代服饰、过度鲜艳配色。,portrait_zhangjuzheng.png；portrait_qinliangyu.png；portrait_zhuyuanzhang.png
wuweizhong,吴惟忠,将帅,浙江参将,嘉靖、万历,1537—1616,,portrait_wuweizhong.png,为明代人物「吴惟忠」绘制单人历史肖像。正式称号：浙江参将；分类：将帅；活动年号：嘉靖、万历；生卒：1537—1616。明代将帅，着合乎身份的布面甲、罩袍或武官常服，沉稳站姿或坐姿，不表现战斗场面。若无传世肖像，不臆造可识别的真实面貌，采用符合明代身份、年龄不明时为成年人的概括性汉人形象。,明代人物绢本肖像，参考现有 portrait_zhangjuzheng.png、portrait_qinliangyu.png 与 portrait_zhuyuanzhang.png：工笔线描与细密木刻肌理，暖褐色宣纸底，青黛、赭石、暗金的低饱和配色，庄重克制；竖幅 2:3，人物居中，脸部位于上半部，上方留出安全裁切空间，适合 Android 人物卡纵向裁切。,不要现代服装、现代发型、摄影写实、欧美面孔、奇幻盔甲、夸张宫殿、战斗动作、兵器特写、文字、姓名题字、印章、水印、logo、边框、多人、错误朝代服饰、过度鲜艳配色。,portrait_zhangjuzheng.png；portrait_qinliangyu.png；portrait_zhuyuanzhang.png
wuzhen,吴祯,将帅,靖海侯,明代,生卒未详,,portrait_wuzhen.png,为明代人物「吴祯」绘制单人历史肖像。正式称号：靖海侯；分类：将帅；活动年号：明代；生卒：生卒未详。明代将帅，着合乎身份的布面甲、罩袍或武官常服，沉稳站姿或坐姿，不表现战斗场面。若无传世肖像，不臆造可识别的真实面貌，采用符合明代身份、年龄不明时为成年人的概括性汉人形象。,明代人物绢本肖像，参考现有 portrait_zhangjuzheng.png、portrait_qinliangyu.png 与 portrait_zhuyuanzhang.png：工笔线描与细密木刻肌理，暖褐色宣纸底，青黛、赭石、暗金的低饱和配色，庄重克制；竖幅 2:3，人物居中，脸部位于上半部，上方留出安全裁切空间，适合 Android 人物卡纵向裁切。,不要现代服装、现代发型、摄影写实、欧美面孔、奇幻盔甲、夸张宫殿、战斗动作、兵器特写、文字、姓名题字、印章、水印、logo、边框、多人、错误朝代服饰、过度鲜艳配色。,portrait_zhangjuzheng.png；portrait_qinliangyu.png；portrait_zhuyuanzhang.png
wuliang,吴良,将帅,江阴侯,洪武,1323—1381,,portrait_wuliang.png,为明代人物「吴良」绘制单人历史肖像。正式称号：江阴侯；分类：将帅；活动年号：洪武；生卒：1323—1381。明代将帅，着合乎身份的布面甲、罩袍或武官常服，沉稳站姿或坐姿，不表现战斗场面。若无传世肖像，不臆造可识别的真实面貌，采用符合明代身份、年龄不明时为成年人的概括性汉人形象。,明代人物绢本肖像，参考现有 portrait_zhangjuzheng.png、portrait_qinliangyu.png 与 portrait_zhuyuanzhang.png：工笔线描与细密木刻肌理，暖褐色宣纸底，青黛、赭石、暗金的低饱和配色，庄重克制；竖幅 2:3，人物居中，脸部位于上半部，上方留出安全裁切空间，适合 Android 人物卡纵向裁切。,不要现代服装、现代发型、摄影写实、欧美面孔、奇幻盔甲、夸张宫殿、战斗动作、兵器特写、文字、姓名题字、印章、水印、logo、边框、多人、错误朝代服饰、过度鲜艳配色。,portrait_zhangjuzheng.png；portrait_qinliangyu.png；portrait_zhuyuanzhang.png
zhoudexing,周德兴,将帅,江夏侯,洪武,生卒未详,,portrait_zhoudexing.png,为明代人物「周德兴」绘制单人历史肖像。正式称号：江夏侯；分类：将帅；活动年号：洪武；生卒：生卒未详。明代将帅，着合乎身份的布面甲、罩袍或武官常服，沉稳站姿或坐姿，不表现战斗场面。若无传世肖像，不臆造可识别的真实面貌，采用符合明代身份、年龄不明时为成年人的概括性汉人形象。,明代人物绢本肖像，参考现有 portrait_zhangjuzheng.png、portrait_qinliangyu.png 与 portrait_zhuyuanzhang.png：工笔线描与细密木刻肌理，暖褐色宣纸底，青黛、赭石、暗金的低饱和配色，庄重克制；竖幅 2:3，人物居中，脸部位于上半部，上方留出安全裁切空间，适合 Android 人物卡纵向裁切。,不要现代服装、现代发型、摄影写实、欧美面孔、奇幻盔甲、夸张宫殿、战斗动作、兵器特写、文字、姓名题字、印章、水印、logo、边框、多人、错误朝代服饰、过度鲜艳配色。,portrait_zhangjuzheng.png；portrait_qinliangyu.png；portrait_zhuyuanzhang.png
zhouxi,周玺,将帅,周玺与游击,成化,生卒未详,,portrait_zhouxi.png,为明代人物「周玺」绘制单人历史肖像。正式称号：周玺与游击；分类：将帅；活动年号：成化；生卒：生卒未详。明代将帅，着合乎身份的布面甲、罩袍或武官常服，沉稳站姿或坐姿，不表现战斗场面。若无传世肖像，不臆造可识别的真实面貌，采用符合明代身份、年龄不明时为成年人的概括性汉人形象。,明代人物绢本肖像，参考现有 portrait_zhangjuzheng.png、portrait_qinliangyu.png 与 portrait_zhuyuanzhang.png：工笔线描与细密木刻肌理，暖褐色宣纸底，青黛、赭石、暗金的低饱和配色，庄重克制；竖幅 2:3，人物居中，脸部位于上半部，上方留出安全裁切空间，适合 Android 人物卡纵向裁切。,不要现代服装、现代发型、摄影写实、欧美面孔、奇幻盔甲、夸张宫殿、战斗动作、兵器特写、文字、姓名题字、印章、水印、logo、边框、多人、错误朝代服饰、过度鲜艳配色。,portrait_zhangjuzheng.png；portrait_qinliangyu.png；portrait_zhuyuanzhang.png
zhouneng,周能,将帅,外祖父周能庆云侯,成化,生卒未详,,portrait_zhouneng.png,为明代人物「周能」绘制单人历史肖像。正式称号：外祖父周能庆云侯；分类：将帅；活动年号：成化；生卒：生卒未详。明代将帅，着合乎身份的布面甲、罩袍或武官常服，沉稳站姿或坐姿，不表现战斗场面。若无传世肖像，不臆造可识别的真实面貌，采用符合明代身份、年龄不明时为成年人的概括性汉人形象。,明代人物绢本肖像，参考现有 portrait_zhangjuzheng.png、portrait_qinliangyu.png 与 portrait_zhuyuanzhang.png：工笔线描与细密木刻肌理，暖褐色宣纸底，青黛、赭石、暗金的低饱和配色，庄重克制；竖幅 2:3，人物居中，脸部位于上半部，上方留出安全裁切空间，适合 Android 人物卡纵向裁切。,不要现代服装、现代发型、摄影写实、欧美面孔、奇幻盔甲、夸张宫殿、战斗动作、兵器特写、文字、姓名题字、印章、水印、logo、边框、多人、错误朝代服饰、过度鲜艳配色。,portrait_zhangjuzheng.png；portrait_qinliangyu.png；portrait_zhuyuanzhang.png
zhouyuji,周遇吉,将帅,山西总兵官,崇祯,生卒未详,萃蓭,portrait_zhouyuji.png,为明代人物「周遇吉」绘制单人历史肖像。正式称号：山西总兵官；分类：将帅；活动年号：崇祯；生卒：生卒未详，字或号为「萃蓭」。明代将帅，着合乎身份的布面甲、罩袍或武官常服，沉稳站姿或坐姿，不表现战斗场面。若无传世肖像，不臆造可识别的真实面貌，采用符合明代身份、年龄不明时为成年人的概括性汉人形象。,明代人物绢本肖像，参考现有 portrait_zhangjuzheng.png、portrait_qinliangyu.png 与 portrait_zhuyuanzhang.png：工笔线描与细密木刻肌理，暖褐色宣纸底，青黛、赭石、暗金的低饱和配色，庄重克制；竖幅 2:3，人物居中，脸部位于上半部，上方留出安全裁切空间，适合 Android 人物卡纵向裁切。,不要现代服装、现代发型、摄影写实、欧美面孔、奇幻盔甲、夸张宫殿、战斗动作、兵器特写、文字、姓名题字、印章、水印、logo、边框、多人、错误朝代服饰、过度鲜艳配色。,portrait_zhangjuzheng.png；portrait_qinliangyu.png；portrait_zhuyuanzhang.png
tangshengzong,唐胜宗,将帅,延安侯,洪武,1335—1390,克家,portrait_tangshengzong.png,为明代人物「唐胜宗」绘制单人历史肖像。正式称号：延安侯；分类：将帅；活动年号：洪武；生卒：1335—1390，字或号为「克家」。明代将帅，着合乎身份的布面甲、罩袍或武官常服，沉稳站姿或坐姿，不表现战斗场面。若无传世肖像，不臆造可识别的真实面貌，采用符合明代身份、年龄不明时为成年人的概括性汉人形象。,明代人物绢本肖像，参考现有 portrait_zhangjuzheng.png、portrait_qinliangyu.png 与 portrait_zhuyuanzhang.png：工笔线描与细密木刻肌理，暖褐色宣纸底，青黛、赭石、暗金的低饱和配色，庄重克制；竖幅 2:3，人物居中，脸部位于上半部，上方留出安全裁切空间，适合 Android 人物卡纵向裁切。,不要现代服装、现代发型、摄影写实、欧美面孔、奇幻盔甲、夸张宫殿、战斗动作、兵器特写、文字、姓名题字、印章、水印、logo、边框、多人、错误朝代服饰、过度鲜艳配色。,portrait_zhangjuzheng.png；portrait_qinliangyu.png；portrait_zhuyuanzhang.png
tangtong,唐通,将帅,密云总兵,崇祯,生卒未详,达轩,portrait_tangtong.png,为明代人物「唐通」绘制单人历史肖像。正式称号：密云总兵；分类：将帅；活动年号：崇祯；生卒：生卒未详，字或号为「达轩」。明代将帅，着合乎身份的布面甲、罩袍或武官常服，沉稳站姿或坐姿，不表现战斗场面。若无传世肖像，不臆造可识别的真实面貌，采用符合明代身份、年龄不明时为成年人的概括性汉人形象。,明代人物绢本肖像，参考现有 portrait_zhangjuzheng.png、portrait_qinliangyu.png 与 portrait_zhuyuanzhang.png：工笔线描与细密木刻肌理，暖褐色宣纸底，青黛、赭石、暗金的低饱和配色，庄重克制；竖幅 2:3，人物居中，脸部位于上半部，上方留出安全裁切空间，适合 Android 人物卡纵向裁切。,不要现代服装、现代发型、摄影写实、欧美面孔、奇幻盔甲、夸张宫殿、战斗动作、兵器特写、文字、姓名题字、印章、水印、logo、边框、多人、错误朝代服饰、过度鲜艳配色。,portrait_zhangjuzheng.png；portrait_qinliangyu.png；portrait_zhuyuanzhang.png
xiawanchun,夏完淳,将帅,中书舍人,崇祯,1631—1647,存古,portrait_xiawanchun.png,为明代人物「夏完淳」绘制单人历史肖像。正式称号：中书舍人；分类：将帅；活动年号：崇祯；生卒：1631—1647，字或号为「存古」。明代将帅，着合乎身份的布面甲、罩袍或武官常服，沉稳站姿或坐姿，不表现战斗场面。若无传世肖像，不臆造可识别的真实面貌，采用符合明代身份、年龄不明时为成年人的概括性汉人形象。,明代人物绢本肖像，参考现有 portrait_zhangjuzheng.png、portrait_qinliangyu.png 与 portrait_zhuyuanzhang.png：工笔线描与细密木刻肌理，暖褐色宣纸底，青黛、赭石、暗金的低饱和配色，庄重克制；竖幅 2:3，人物居中，脸部位于上半部，上方留出安全裁切空间，适合 Android 人物卡纵向裁切。,不要现代服装、现代发型、摄影写实、欧美面孔、奇幻盔甲、夸张宫殿、战斗动作、兵器特写、文字、姓名题字、印章、水印、logo、边框、多人、错误朝代服饰、过度鲜艳配色。,portrait_zhangjuzheng.png；portrait_qinliangyu.png；portrait_zhuyuanzhang.png
datongbingbian,大同兵变,将帅,总兵,明代,1524—？,,portrait_datongbingbian.png,为明代人物「大同兵变」绘制单人历史肖像。正式称号：总兵；分类：将帅；活动年号：明代；生卒：1524—？。明代将帅，着合乎身份的布面甲、罩袍或武官常服，沉稳站姿或坐姿，不表现战斗场面。若无传世肖像，不臆造可识别的真实面貌，采用符合明代身份、年龄不明时为成年人的概括性汉人形象。,明代人物绢本肖像，参考现有 portrait_zhangjuzheng.png、portrait_qinliangyu.png 与 portrait_zhuyuanzhang.png：工笔线描与细密木刻肌理，暖褐色宣纸底，青黛、赭石、暗金的低饱和配色，庄重克制；竖幅 2:3，人物居中，脸部位于上半部，上方留出安全裁切空间，适合 Android 人物卡纵向裁切。,不要现代服装、现代发型、摄影写实、欧美面孔、奇幻盔甲、夸张宫殿、战斗动作、兵器特写、文字、姓名题字、印章、水印、logo、边框、多人、错误朝代服饰、过度鲜艳配色。,portrait_zhangjuzheng.png；portrait_qinliangyu.png；portrait_zhuyuanzhang.png
jianghan,姜汉,将帅,参将,弘治,生卒未详,,portrait_jianghan.png,为明代人物「姜汉」绘制单人历史肖像。正式称号：参将；分类：将帅；活动年号：弘治；生卒：生卒未详。明代将帅，着合乎身份的布面甲、罩袍或武官常服，沉稳站姿或坐姿，不表现战斗场面。若无传世肖像，不臆造可识别的真实面貌，采用符合明代身份、年龄不明时为成年人的概括性汉人形象。,明代人物绢本肖像，参考现有 portrait_zhangjuzheng.png、portrait_qinliangyu.png 与 portrait_zhuyuanzhang.png：工笔线描与细密木刻肌理，暖褐色宣纸底，青黛、赭石、暗金的低饱和配色，庄重克制；竖幅 2:3，人物居中，脸部位于上半部，上方留出安全裁切空间，适合 Android 人物卡纵向裁切。,不要现代服装、现代发型、摄影写实、欧美面孔、奇幻盔甲、夸张宫殿、战斗动作、兵器特写、文字、姓名题字、印章、水印、logo、边框、多人、错误朝代服饰、过度鲜艳配色。,portrait_zhangjuzheng.png；portrait_qinliangyu.png；portrait_zhuyuanzhang.png
jiangxiang,姜瓖,将帅,镇朔将军,崇祯,生卒未详,,portrait_jiangxiang.png,为明代人物「姜瓖」绘制单人历史肖像。正式称号：镇朔将军；分类：将帅；活动年号：崇祯；生卒：生卒未详。明代将帅，着合乎身份的布面甲、罩袍或武官常服，沉稳站姿或坐姿，不表现战斗场面。若无传世肖像，不臆造可识别的真实面貌，采用符合明代身份、年龄不明时为成年人的概括性汉人形象。,明代人物绢本肖像，参考现有 portrait_zhangjuzheng.png、portrait_qinliangyu.png 与 portrait_zhuyuanzhang.png：工笔线描与细密木刻肌理，暖褐色宣纸底，青黛、赭石、暗金的低饱和配色，庄重克制；竖幅 2:3，人物居中，脸部位于上半部，上方留出安全裁切空间，适合 Android 人物卡纵向裁切。,不要现代服装、现代发型、摄影写实、欧美面孔、奇幻盔甲、夸张宫殿、战斗动作、兵器特写、文字、姓名题字、印章、水印、logo、边框、多人、错误朝代服饰、过度鲜艳配色。,portrait_zhangjuzheng.png；portrait_qinliangyu.png；portrait_zhuyuanzhang.png
sunyuanhua,孙元化,将帅,登莱巡抚,万历,1581—1632,初阳,portrait_sunyuanhua.png,为明代人物「孙元化」绘制单人历史肖像。正式称号：登莱巡抚；分类：将帅；活动年号：万历；生卒：1581—1632，字或号为「初阳」。明代将帅，着合乎身份的布面甲、罩袍或武官常服，沉稳站姿或坐姿，不表现战斗场面。若无传世肖像，不臆造可识别的真实面貌，采用符合明代身份、年龄不明时为成年人的概括性汉人形象。,明代人物绢本肖像，参考现有 portrait_zhangjuzheng.png、portrait_qinliangyu.png 与 portrait_zhuyuanzhang.png：工笔线描与细密木刻肌理，暖褐色宣纸底，青黛、赭石、暗金的低饱和配色，庄重克制；竖幅 2:3，人物居中，脸部位于上半部，上方留出安全裁切空间，适合 Android 人物卡纵向裁切。,不要现代服装、现代发型、摄影写实、欧美面孔、奇幻盔甲、夸张宫殿、战斗动作、兵器特写、文字、姓名题字、印章、水印、logo、边框、多人、错误朝代服饰、过度鲜艳配色。,portrait_zhangjuzheng.png；portrait_qinliangyu.png；portrait_zhuyuanzhang.png
sunxingzu,孙兴祖,将帅,燕山侯,洪武,生卒未详,,portrait_sunxingzu.png,为明代人物「孙兴祖」绘制单人历史肖像。正式称号：燕山侯；分类：将帅；活动年号：洪武；生卒：生卒未详。明代将帅，着合乎身份的布面甲、罩袍或武官常服，沉稳站姿或坐姿，不表现战斗场面。若无传世肖像，不臆造可识别的真实面貌，采用符合明代身份、年龄不明时为成年人的概括性汉人形象。,明代人物绢本肖像，参考现有 portrait_zhangjuzheng.png、portrait_qinliangyu.png 与 portrait_zhuyuanzhang.png：工笔线描与细密木刻肌理，暖褐色宣纸底，青黛、赭石、暗金的低饱和配色，庄重克制；竖幅 2:3，人物居中，脸部位于上半部，上方留出安全裁切空间，适合 Android 人物卡纵向裁切。,不要现代服装、现代发型、摄影写实、欧美面孔、奇幻盔甲、夸张宫殿、战斗动作、兵器特写、文字、姓名题字、印章、水印、logo、边框、多人、错误朝代服饰、过度鲜艳配色。,portrait_zhangjuzheng.png；portrait_qinliangyu.png；portrait_zhuyuanzhang.png
sunyan-2,孙岩,将帅,应城伯,永乐,1339—？,,portrait_sunyan_2.png,为明代人物「孙岩」绘制单人历史肖像。正式称号：应城伯；分类：将帅；活动年号：永乐；生卒：1339—？。明代将帅，着合乎身份的布面甲、罩袍或武官常服，沉稳站姿或坐姿，不表现战斗场面。若无传世肖像，不臆造可识别的真实面貌，采用符合明代身份、年龄不明时为成年人的概括性汉人形象。,明代人物绢本肖像，参考现有 portrait_zhangjuzheng.png、portrait_qinliangyu.png 与 portrait_zhuyuanzhang.png：工笔线描与细密木刻肌理，暖褐色宣纸底，青黛、赭石、暗金的低饱和配色，庄重克制；竖幅 2:3，人物居中，脸部位于上半部，上方留出安全裁切空间，适合 Android 人物卡纵向裁切。,不要现代服装、现代发型、摄影写实、欧美面孔、奇幻盔甲、夸张宫殿、战斗动作、兵器特写、文字、姓名题字、印章、水印、logo、边框、多人、错误朝代服饰、过度鲜艳配色。,portrait_zhangjuzheng.png；portrait_qinliangyu.png；portrait_zhuyuanzhang.png
sunhu,孙虎,将帅,康安郡伯,明代,生卒未详,,portrait_sunhu.png,为明代人物「孙虎」绘制单人历史肖像。正式称号：康安郡伯；分类：将帅；活动年号：明代；生卒：生卒未详。明代将帅，着合乎身份的布面甲、罩袍或武官常服，沉稳站姿或坐姿，不表现战斗场面。若无传世肖像，不臆造可识别的真实面貌，采用符合明代身份、年龄不明时为成年人的概括性汉人形象。,明代人物绢本肖像，参考现有 portrait_zhangjuzheng.png、portrait_qinliangyu.png 与 portrait_zhuyuanzhang.png：工笔线描与细密木刻肌理，暖褐色宣纸底，青黛、赭石、暗金的低饱和配色，庄重克制；竖幅 2:3，人物居中，脸部位于上半部，上方留出安全裁切空间，适合 Android 人物卡纵向裁切。,不要现代服装、现代发型、摄影写实、欧美面孔、奇幻盔甲、夸张宫殿、战斗动作、兵器特写、文字、姓名题字、印章、水印、logo、边框、多人、错误朝代服饰、过度鲜艳配色。,portrait_zhangjuzheng.png；portrait_qinliangyu.png；portrait_zhuyuanzhang.png
mengshan,孟善,将帅,忠勇,建文,1344—1412,,portrait_mengshan.png,为明代人物「孟善」绘制单人历史肖像。正式称号：忠勇；分类：将帅；活动年号：建文；生卒：1344—1412。明代将帅，着合乎身份的布面甲、罩袍或武官常服，沉稳站姿或坐姿，不表现战斗场面。若无传世肖像，不臆造可识别的真实面貌，采用符合明代身份、年龄不明时为成年人的概括性汉人形象。,明代人物绢本肖像，参考现有 portrait_zhangjuzheng.png、portrait_qinliangyu.png 与 portrait_zhuyuanzhang.png：工笔线描与细密木刻肌理，暖褐色宣纸底，青黛、赭石、暗金的低饱和配色，庄重克制；竖幅 2:3，人物居中，脸部位于上半部，上方留出安全裁切空间，适合 Android 人物卡纵向裁切。,不要现代服装、现代发型、摄影写实、欧美面孔、奇幻盔甲、夸张宫殿、战斗动作、兵器特写、文字、姓名题字、印章、水印、logo、边框、多人、错误朝代服饰、过度鲜艳配色。,portrait_zhangjuzheng.png；portrait_qinliangyu.png；portrait_zhuyuanzhang.png
ningzheng,宁正,将帅,平羌将军,明代,1338—1396,正卿,portrait_ningzheng.png,为明代人物「宁正」绘制单人历史肖像。正式称号：平羌将军；分类：将帅；活动年号：明代；生卒：1338—1396，字或号为「正卿」。明代将帅，着合乎身份的布面甲、罩袍或武官常服，沉稳站姿或坐姿，不表现战斗场面。若无传世肖像，不臆造可识别的真实面貌，采用符合明代身份、年龄不明时为成年人的概括性汉人形象。,明代人物绢本肖像，参考现有 portrait_zhangjuzheng.png、portrait_qinliangyu.png 与 portrait_zhuyuanzhang.png：工笔线描与细密木刻肌理，暖褐色宣纸底，青黛、赭石、暗金的低饱和配色，庄重克制；竖幅 2:3，人物居中，脸部位于上半部，上方留出安全裁切空间，适合 Android 人物卡纵向裁切。,不要现代服装、现代发型、摄影写实、欧美面孔、奇幻盔甲、夸张宫殿、战斗动作、兵器特写、文字、姓名题字、印章、水印、logo、边框、多人、错误朝代服饰、过度鲜艳配色。,portrait_zhangjuzheng.png；portrait_qinliangyu.png；portrait_zhuyuanzhang.png
songyihe,宋一鹤,将帅,代替方孔炤巡抚,崇祯,生卒未详,,portrait_songyihe.png,为明代人物「宋一鹤」绘制单人历史肖像。正式称号：代替方孔炤巡抚；分类：将帅；活动年号：崇祯；生卒：生卒未详。明代将帅，着合乎身份的布面甲、罩袍或武官常服，沉稳站姿或坐姿，不表现战斗场面。若无传世肖像，不臆造可识别的真实面貌，采用符合明代身份、年龄不明时为成年人的概括性汉人形象。,明代人物绢本肖像，参考现有 portrait_zhangjuzheng.png、portrait_qinliangyu.png 与 portrait_zhuyuanzhang.png：工笔线描与细密木刻肌理，暖褐色宣纸底，青黛、赭石、暗金的低饱和配色，庄重克制；竖幅 2:3，人物居中，脸部位于上半部，上方留出安全裁切空间，适合 Android 人物卡纵向裁切。,不要现代服装、现代发型、摄影写实、欧美面孔、奇幻盔甲、夸张宫殿、战斗动作、兵器特写、文字、姓名题字、印章、水印、logo、边框、多人、错误朝代服饰、过度鲜艳配色。,portrait_zhangjuzheng.png；portrait_qinliangyu.png；portrait_zhuyuanzhang.png
